,Date,banks_positive,banks_neutral,banks_negative,fin_positive,fin_neutral,fin_negative,count_banks,count_fin,dollar,sp500,dollar_diff,sp500_diff
181,2022-07-01,0.200901860371232,0.7246176898479462,0.07448041997849936,0.4822324514389038,0.4197207689285278,0.0980468168854713,2,1,121.3983,3825.33,0.5264000000000095,39.94999999999982
185,2022-07-05,0.1872107982635498,0.7305070161819458,0.0822821110486984,0.35107830725610256,0.5166786052286625,0.1322430996224284,1,4,122.5303,3831.39,1.1319999999999908,6.059999999999945
186,2022-07-06,0.3442846685647964,0.6040427386760712,0.051672602072358104,0.10567781329154965,0.4026015847921371,0.49172061681747437,2,2,122.9059,3845.08,0.3756000000000057,13.690000000000055
187,2022-07-07,,,,0.10542360544204707,0.5162982787936926,0.3782781220972538,0,5,122.6334,3902.62,-0.27250000000000796,57.539999999999964
188,2022-07-08,0.0638089999556541,0.8980106115341187,0.0381803549826145,0.09469129890203475,0.39448106785615283,0.5108276183406512,1,3,122.3794,3899.38,-0.2539999999999907,-3.2399999999997817
191,2022-07-11,0.4138630926609039,0.5411466360092163,0.04499027505517,0.12630777029941473,0.5280632525682449,0.3456289501239856,1,6,123.1972,3854.43,0.8177999999999912,-44.95000000000027
192,2022-07-12,,,,0.0994047503918409,0.7655748426914215,0.1350204199552536,0,2,123.3302,3818.8,0.13300000000000978,-35.629999999999654
193,2022-07-13,0.3722046315670013,0.5690975189208984,0.0586978420615196,0.3049845844507217,0.19701436161994929,0.4980010613799095,1,2,123.1654,3801.78,-0.1647999999999996,-17.019999999999982
194,2022-07-14,,,,,,,0,0,123.9404,3790.38,0.7749999999999915,-11.400000000000091
195,2022-07-15,0.4285759925842285,0.5017070770263672,0.0697168558835983,0.1042719855904579,0.8092235326766968,0.0865044444799423,1,1,123.3601,3863.16,-0.580299999999994,72.77999999999975
198,2022-07-18,0.36802514394124347,0.5491210619608561,0.08285384252667423,,,,3,0,122.6637,3830.85,-0.696399999999997,-32.309999999999945
199,2022-07-19,,,,0.10198876522481437,0.35675116404891016,0.5412600845098495,0,5,122.3745,3936.69,-0.2892000000000081,105.84000000000015
200,2022-07-20,0.25518377621968585,0.6905629436175028,0.054253264019886595,0.312215531617403,0.30474186837673184,0.38304259553551673,3,5,122.4864,3959.9,0.11190000000000566,23.210000000000036
201,2022-07-21,,,,,,,0,0,122.8004,3998.95,0.31399999999999295,39.04999999999973
202,2022-07-22,0.0730049014091491,0.890247106552124,0.036747969686985,,,,1,0,122.3473,3961.63,-0.45309999999999206,-37.31999999999971
205,2022-07-25,,,,0.35708414018154144,0.5948776751756668,0.0480381837114691,0,2,122.3579,3966.84,0.010599999999996612,5.210000000000036
206,2022-07-26,0.2941049337387085,0.6890764236450195,0.0168187115341424,0.2446684362366795,0.4734794944524765,0.2818520776927471,1,4,122.6609,3921.05,0.30299999999999727,-45.789999999999964
207,2022-07-27,0.1910796463489532,0.7214909791946411,0.087429404258728,0.22716120680173238,0.45637660175561906,0.31646219789981844,1,15,122.7174,4023.61,0.05649999999999977,102.55999999999995
208,2022-07-28,0.4498879611492157,0.4667382836341858,0.0833737254142761,0.2694591081447222,0.40495385839180514,0.32558702889152547,1,11,122.024,4072.43,-0.6933999999999969,48.81999999999971
209,2022-07-29,0.0420224890112876,0.9176355004310608,0.0403419286012649,0.02006443031132215,0.10781682096421716,0.87211874127388,1,2,121.6934,4130.29,-0.330600000000004,57.86000000000013
212,2022-08-01,0.1001057475805282,0.8517360091209412,0.0481582731008529,0.6551521420478821,0.2740160226821899,0.0708318129181861,1,1,121.3454,4118.63,-0.347999999999999,-11.659999999999854
213,2022-08-02,,,,0.08050183253362769,0.16765208914875981,0.751846082508564,0,4,121.8569,4091.19,0.5114999999999981,-27.440000000000055
214,2022-08-03,,,,0.09388936590403316,0.4937482550740242,0.4123623939231038,0,2,122.293,4155.17,0.43610000000001037,63.98000000000002
215,2022-08-04,,,,0.3487050871957432,0.4692763618447564,0.18201854079961774,0,11,121.7517,4151.94,-0.5413000000000068,-3.230000000000473
216,2022-08-05,0.4246074954668681,0.46624918778737384,0.10914328445990873,0.2840144336223602,0.5401324331760406,0.17585313692688942,3,2,122.2345,4145.19,0.48279999999999745,-6.75
219,2022-08-08,,,,0.14882233513829607,0.49239475404222804,0.35878292517736554,0,12,121.7944,4140.06,-0.44010000000000105,-5.1299999999992
220,2022-08-09,0.2148480415344238,0.6369196772575378,0.1482322067022323,0.2950960136950016,0.4376114569604397,0.2672925218939781,1,4,121.7824,4122.47,-0.012000000000000455,-17.590000000000146
221,2022-08-10,0.2444981187582016,0.5948065519332886,0.1606953144073486,0.0725624347105622,0.3103736378252506,0.6170639172196388,1,4,120.6894,4210.24,-1.0929999999999893,87.76999999999953
