,Date,dollar,sp500,dollar_diff,sp500_diff,bank_positive,bank_neutral,bank_negative,count_bank,fin_positive,fin_neutral,fin_negative,count_fin,bank_positive_var,bank_neutral_var,bank_negative_var,fin_positive_var,fin_neutral_var,fin_negative_var,bank_pos_dummy2,bank_neg_dummy2,fin_pos_dummy2,fin_neg_dummy2,bank_pos_dummy,bank_neu_dummy,bank_neg_dummy,fin_pos_dummy,fin_neu_dummy,fin_neg_dummy
129,2023-01-09,120.0928,3892.09,-0.9512,-2.9899999999997817,,,,0,0.2993144039064646,0.35418191738426685,0.34650369454175234,4,,,,0.10976803354560843,0.07811684663250049,0.0937435456904533,0,0,0,1,0,0,0,0,1,0
130,2023-01-10,120.1881,3919.25,0.09530000000000882,27.159999999999854,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
131,2023-01-11,120.0968,3969.61,-0.09130000000000393,50.36000000000013,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
132,2023-01-12,119.3624,3983.17,-0.7344000000000079,13.559999999999945,,,,0,0.10622159810736775,0.7743828780949116,0.11939548840746284,8,,,,0.003916574317323227,0.020630696370323505,0.01699768867923877,0,0,0,0,0,0,0,0,1,0
133,2023-01-13,119.0901,3999.09,-0.2722999999999871,15.920000000000073,,,,0,0.048840347677469254,0.9151167273521423,0.03604297712445259,1,,,,,,,0,0,0,0,0,0,0,0,1,0
134,2023-01-17,119.1802,3990.97,0.09009999999999252,-8.120000000000346,,,,0,0.1790491690238317,0.5236039658387502,0.29734687879681587,3,,,,0.06375729587812458,0.10378313674401547,0.17538621123829756,0,0,0,1,0,0,0,0,1,0
135,2023-01-18,119.0426,3928.86,-0.13760000000000616,-62.10999999999967,,,,0,0.4461241289973259,0.4376411885023117,0.11623466806486249,4,,,,0.057751001590401176,0.030943552360919984,0.012963643539317421,0,0,1,0,0,0,0,1,0,0
136,2023-01-19,119.5592,3898.85,0.516600000000011,-30.01000000000022,,,,0,0.03639198839664459,0.2820964455604553,0.6815115809440613,1,,,,,,,0,0,0,1,0,0,0,0,0,1
137,2023-01-20,119.3251,3972.61,-0.23409999999999798,73.76000000000022,,,,0,0.08735832571983337,0.8200758099555969,0.0925658568739891,1,,,,,,,0,0,0,0,0,0,0,0,1,0
138,2023-01-23,119.1417,4019.81,-0.183400000000006,47.19999999999982,,,,0,0.19107554852962494,0.7433615326881409,0.06556292623281479,1,,,,,,,0,0,0,0,0,0,0,0,1,0
139,2023-01-24,119.0923,4016.95,-0.04940000000000566,-2.8600000000001273,,,,0,0.3380804620683193,0.4820028344790141,0.17991668855150542,3,,,,0.1484916165842496,0.06754652221761623,0.03310720843771375,0,0,1,0,0,0,0,0,1,0
140,2023-01-25,118.9715,4016.22,-0.12079999999998847,-0.7300000000000182,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
141,2023-01-26,119.0236,4060.43,0.052099999999995816,44.210000000000036,,,,0,0.25889667868614197,0.6426917314529419,0.09841157495975494,1,,,,,,,0,0,1,0,0,0,0,0,1,0
142,2023-01-27,118.9295,4070.56,-0.09409999999999741,10.13000000000011,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
